title,company,description,onsite_remote,salary,location,criteria,posted_date,link
Data Analyst,ClientSolv Inc.,Nan,onsite,NaN,"Grand Rapids, MI","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-clientsolv-inc-3627675457?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=7gcXpmX8hypFnEq3%2FxEv0g%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst, Business Analysis and Reporting - Lakeland",Publix Super Markets,Nan,onsite,NaN,"Lakeland, FL","[{'Seniority level': 'Not Applicable'}, {'Employment type': 'Full-time'}, {'Job function': 'Finance and Accounting/Auditing'}, {'Industries': 'Retail'}]",2023-05-30,https://www.linkedin.com/jobs/view/data-analyst-business-analysis-and-reporting-lakeland-at-publix-super-markets-3622795962?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=8FiTlbdsso3CMa%2Fa7dWbiQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Maximum Games,Nan,onsite,NaN,"Walnut Creek, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-20,https://www.linkedin.com/jobs/view/data-analyst-at-maximum-games-3612757366?refId=SGS%2FfLUlaXGZqjJD7aMH4Q%3D%3D&trackingId=wGMLx%2Fdla0AWF4l6SL2g4Q%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr Data Analyst,One Park Financial,Nan,onsite,NaN,"Miami, FL","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-18,https://www.linkedin.com/jobs/view/jr-data-analyst-at-one-park-financial-3627893035?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=zToMs5aMKabbOFm2shtE7Q%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst-Entry level.,Flexon Technologies Inc.,Nan,onsite,NaN,"Pleasanton, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-02,https://www.linkedin.com/jobs/view/data-analyst-entry-level-at-flexon-technologies-inc-3625483990?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=yzXZEMfYl%2FzPLhsa%2FZPnpQ%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Level 2,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-level-2-at-lockheed-martin-3611847539?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=xG3NC7ltyUSgSeFan%2BCHEQ%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
Jr data analyst,"KGS Technology Group, Inc",Nan,onsite,NaN,"San Jose, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-26,https://www.linkedin.com/jobs/view/jr-data-analyst-at-kgs-technology-group-inc-3617003884?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=cwVJHsjXeewIu0XttBIlDw%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Alchemy Worx,Nan,onsite,NaN,"New York, United States","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Analyst'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-alchemy-worx-3622757648?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=hGJh9ZwRfgf167NJeZKsQg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Python/SQL Data Analyst,Bardess Group Ltd,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-05-15,https://www.linkedin.com/jobs/view/python-sql-data-analyst-at-bardess-group-ltd-3607784565?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=9Td%2Fm6GEE2bEGZvuUl6hFw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-18,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3611846593?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=F%2ByUx1n25vb55Ma9iLrUvA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Allnessjobs,Nan,onsite,NaN,"Tennessee, United States","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Human Resources Services'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-allnessjobs-3627638321?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=RZio9ZkEHqsBlFz%2F1NkMpw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst Associate - Level 1,Lockheed Martin,Nan,onsite,NaN,"Fort Worth, TX","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Defense and Space Manufacturing'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-associate-level-1-at-lockheed-martin-3617962147?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=3D9%2F1feZbApdxsozWgAwlQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Futran Solutions,Nan,onsite,NaN,"Redmond, WA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-16,https://www.linkedin.com/jobs/view/data-analyst-at-futran-solutions-3607085745?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=ATLtQCfiYV%2BqCdRd1ys1pg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Inter,VRK IT Vision Inc.,Nan,onsite,NaN,"McLean, VA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-05-26,https://www.linkedin.com/jobs/view/data-analyst-inter-at-vrk-it-vision-inc-3616642302?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=9HdRH44oXh4ROi21CVP4IA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,VRK IT Vision Inc.,Nan,onsite,NaN,"Chicago, IL","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Technology & Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-at-vrk-it-vision-inc-3625958423?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=sQ%2B78I3uaM%2FM7ODgxEIOdQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Hitch,Nan,onsite,NaN,"Austin, TX","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Engineering'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-25,https://www.linkedin.com/jobs/view/data-analyst-at-hitch-3616992052?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=e5sr9j0jfJe5plAhIyJwHw%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Capgemini,Nan,onsite,NaN,"New Jersey, United States","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-capgemini-3621386735?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=k%2BtJpuELgkWKhsxgiUvtKA%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Brooksource,Nan,onsite,NaN,"Cerritos, CA","[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-01,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3624920957?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=1Wi3IqbSzlxgLld1KktDhQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Juniper Behavioral Health,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Mental Health Care'}]",2023-06-07,https://www.linkedin.com/jobs/view/data-analyst-at-juniper-behavioral-health-3628172283?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=YB1WmVqUYQxlLYFZ%2B1RiRA%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst and BI Developer,NielsenIQ,Nan,onsite,NaN,United States,"[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Information Services'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-and-bi-developer-at-nielseniq-3627064795?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=pBWH8Gy2clRwFRoNtc1BbA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst@remote,Diverse Lynx,Nan,onsite,NaN,United States,"[{'Seniority level': 'Entry level'}, {'Employment type': 'Contract'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development'}]",2023-05-13,https://www.linkedin.com/jobs/view/data-analyst%40remote-at-diverse-lynx-3629636810?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=4wnUvw5I3doGknvQTbGrgg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Centripetal Crossfit,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-at-centripetal-crossfit-3616969491?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=ytUDZomLJXUIvbedf27lPg%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst/Data science -REMOTE,PSRTEK,Nan,onsite,NaN,"New York, NY","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-05,https://www.linkedin.com/jobs/view/data-analyst-data-science-remote-at-psrtek-3626317760?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=%2F1acaFOAE2yuyznu2G%2FHTg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
Junior Data Analyst (Remote),SynergisticIT,Nan,onsite,NaN,"Jersey City, NJ","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Software Development, Computer Networking Products, and Computer and Network Security'}]",2023-05-26,https://www.linkedin.com/jobs/view/junior-data-analyst-remote-at-synergisticit-3617459653?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=eFOoesgQROShoXSmsnWYsg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
127 - Data Analyst,"Next Phase Solutions and Services, Inc.",Nan,onsite,NaN,"Columbia, MD","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Technology, Information and Internet'}]",2023-05-31,https://www.linkedin.com/jobs/view/127-data-analyst-at-next-phase-solutions-and-services-inc-3623661009?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=Yg5z0dJJSKVfTgJtTlQQqQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Rantec Power Systems Inc.,Nan,onsite,NaN,"Los Osos, CA","[{'Seniority level': 'Mid-Senior level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Internet Publishing'}]",2023-05-23,https://www.linkedin.com/jobs/view/data-analyst-at-rantec-power-systems-inc-3615847918?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=IU%2BoULosEShngeewSI%2FsIg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
"Data Analyst (SQL, Tableau or equivalent reporting tools, excellent communication, interpret data. find pattern/trend) AK",Cube Hub Inc.,Nan,onsite,NaN,"Wichita, KS","[{'Seniority level': 'Entry level'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'Staffing and Recruiting'}]",2023-05-24,https://www.linkedin.com/jobs/view/data-analyst-sql-tableau-or-equivalent-reporting-tools-excellent-communication-interpret-data-find-pattern-trend-ak-at-cube-hub-inc-3614223162?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=bWpjiYg2Q6RO2xa3HDOVTA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,ClientSolv Inc.,Nan,onsite,NaN,"Grand Rapids, MI","[{'Seniority level': 'Associate'}, {'Employment type': 'Full-time'}, {'Job function': 'Information Technology'}, {'Industries': 'IT Services and IT Consulting'}]",2023-06-06,https://www.linkedin.com/jobs/view/data-analyst-at-clientsolv-inc-3627675457?refId=FwioEsCe%2FbmmYYtURq3x3w%3D%3D&trackingId=7PMbKqcLn7Pi%2BEIAGN5Rpw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
